registration_number,name,nace_as_published,turnover_2024_eur,employees_annual_report,period_start,period_end,statement_id,register_terminated_date,register_closed_flag
40103892195,"Sabiedrība ar ierobežotu atbildību ""Easywood""",4100,1627434,38,2024-01-01,2024-12-31,2062104,, 
40103608385,"Sabiedrība ar ierobežotu atbildību ""FaberLat""",4100,1102232,3,2024-01-01,2024-12-31,1987318,, 
40003780837,"Sabiedrība ar ierobežotu atbildību ""Fasāde PRO""",4100,1450375,52,2024-01-01,2024-12-31,2039515,, 
40003838050,"Sabiedrība ar ierobežotu atbildību ""GSS""",4100,1059008,9,2024-01-01,2024-12-31,2016232,, 
43603059760,"Sabiedrība ar ierobežotu atbildību ""IN GRUPA""",4100,1731534,20,2024-01-01,2024-12-31,2057864,, 
40003607877,"Sabiedrība ar ierobežotu atbildību ""INUTA""",4100,1537385,14,2024-01-01,2024-12-31,1991089,, 
40103979041,"Sabiedrība ar ierobežotu atbildību ""JG Holding""",4100,1305687,25,2024-01-01,2024-12-31,2049666,, 
40103485664,"Sabiedrība ar ierobežotu atbildību ""Joinus""",4100,1293234,6,2024-01-01,2024-12-31,1985904,, 
40103773174,"Sabiedrība ar ierobežotu atbildību ""KBO""",4100,1322333,7,2024-01-01,2024-12-31,2082054,, 
40103922767,"Sabiedrība ar ierobežotu atbildību ""KORP""",4100,1852450,23,2024-01-01,2024-12-31,1990470,, 
40103186614,"Sabiedrība ar ierobežotu atbildību ""KaimS""",4100,1768417,31,2024-01-01,2024-12-31,2016974,, 
40003949801,"Sabiedrība ar ierobežotu atbildību ""Konsult B""",4100,1834446,37,2024-01-01,2024-12-31,2066807,, 
50103437401,"Sabiedrība ar ierobežotu atbildību ""LABIE JUMTI""",4100,1576240,25,2024-01-01,2024-12-31,2067510,, 
41503012572,"Sabiedrība ar ierobežotu atbildību ""Leksimuss""",4100,1270051,21,2024-01-01,2024-12-31,2058850,, 
40003781758,"Sabiedrība ar ierobežotu atbildību ""Levil Invest""",4100,1004156,5,2024-01-01,2024-12-31,2042963,, 
40103147903,"Sabiedrība ar ierobežotu atbildību ""Logi24""",4100,1141032,9,2024-01-01,2024-12-31,2042224,, 
41203068276,"Sabiedrība ar ierobežotu atbildību ""MARIVENT""",4100,1426754,12,2024-01-01,2024-12-31,2028045,, 
40003304295,"Sabiedrība ar ierobežotu atbildību ""MERKS""",4100,1283444,9,2024-01-01,2024-12-31,2045884,, 
40003863645,"Sabiedrība ar ierobežotu atbildību ""MP Būves""",4100,1108191,9,2024-01-01,2024-12-31,2066684,, 
40003977735,"Sabiedrība ar ierobežotu atbildību ""Monolīts būvvadība""",4100,1873644,41,2024-01-01,2024-12-31,2008521,, 
53603024281,"Sabiedrība ar ierobežotu atbildību ""Mītavas celtnieks""",4100,1614325,31,2024-01-01,2024-12-31,1994606,, 
40003931443,"Sabiedrība ar ierobežotu atbildību ""ORIONS CK PROJEKTS""",4100,1412255,3,2024-01-01,2024-12-31,2018964,, 
40003606689,"Sabiedrība ar ierobežotu atbildību ""ORMIS BALTIJA""",4100,1072164,11,2024-01-01,2024-12-31,2066353,, 
41202002987,"Sabiedrība ar ierobežotu atbildību ""PARTNERIS""",4100,1106419,22,2024-01-01,2024-12-31,1972900,, 
40103610623,"Sabiedrība ar ierobežotu atbildību ""PREMIUM GLASS SYSTEMS""",4100,1261215,19,2024-01-01,2024-12-31,2040380,, 
40103429296,"Sabiedrība ar ierobežotu atbildību ""Paras""",4100,1683880,27,2024-01-01,2024-12-31,2067494,, 
48701007658,"Sabiedrība ar ierobežotu atbildību ""Pērles Būve""",4100,1309284,8,2024-01-01,2024-12-31,1986180,, 
44103087969,"Sabiedrība ar ierobežotu atbildību ""RG meistars""",4100,1470899,24,2024-01-01,2024-12-31,1974165,, 
40103228176,"Sabiedrība ar ierobežotu atbildību ""RISE JE""",4100,1100447,18,2024-01-01,2024-12-31,2052312,, 
48503010791,"Sabiedrība ar ierobežotu atbildību ""RRP""",4100,1745311,28,2024-01-01,2024-12-31,1988408,, 
40103808118,"Sabiedrība ar ierobežotu atbildību ""RS84""",4100,1656050,12,2024-01-01,2024-12-31,2051207,, 
50003911951,"Sabiedrība ar ierobežotu atbildību ""S.V.K. Būve""",4100,1063869,21,2024-01-01,2024-12-31,1975525,, 
51203009611,"Sabiedrība ar ierobežotu atbildību ""SAMRODE""",4100,1550508,33,2024-01-01,2024-12-31,1977494,, 
40103570458,"Sabiedrība ar ierobežotu atbildību ""SAVS meistars""",4100,1848964,18,2024-01-01,2024-12-31,1986380,, 
40003584108,"Sabiedrība ar ierobežotu atbildību ""SCHS BLOKS""",4100,1104921,4,2024-01-01,2024-12-31,1957062,, 
40003108469,"Sabiedrība ar ierobežotu atbildību ""SILEN""",4100,1634213,11,2024-01-01,2024-12-31,1994834,, 
40203005483,"Sabiedrība ar ierobežotu atbildību ""SK Construction""",4100,1567586,29,2024-01-01,2024-12-31,1983080,, 
42103047991,"Sabiedrība ar ierobežotu atbildību ""SK Lauktehnika""",4100,1255413,26,2024-01-01,2024-12-31,2002759,, 
40103485607,"Sabiedrība ar ierobežotu atbildību ""STRANDECK""",4100,1214058,17,2024-01-01,2024-12-31,2077594,, 
40103775387,"Sabiedrība ar ierobežotu atbildību ""Scand Direct""",4100,1475967,17,2024-01-01,2024-12-31,1992418,, 
41203014790,"Sabiedrība ar ierobežotu atbildību ""TIKEM""",4100,1096354,15,2024-01-01,2024-12-31,1973813,, 
